Tanggal,SU,KU,CH
12/28/2008,22,73,2
12/29/2008,21.3,80,1
12/30/2008,21.8,82,3
12/31/2008,21.2,88,1
1/1/2009,20.6,90,3
1/2/2009,21.2,80,10
1/3/2009,20.4,74,5
1/4/2009,21.1,67,0
1/5/2009,21.3,66,0
1/6/2009,20.6,72,0
1/7/2009,20.2,88,20
1/8/2009,20.2,88,0
1/9/2009,19.7,93,38
1/10/2009,20.6,88,4
1/11/2009,19.5,89,2
1/12/2009,19,90,25
1/13/2009,19.3,99,26
1/14/2009,18.7,99,89
1/15/2009,18.7,96,69
1/16/2009,19,100,44
1/17/2009,19.5,96,23
1/18/2009,19.4,95,65
1/19/2009,19.8,96,0
1/20/2009,20,93,25
1/21/2009,20.3,92,21
1/22/2009,20.5,86,0
1/23/2009,20.8,90,0
1/24/2009,21.2,88,0
1/25/2009,20.2,94,20
1/26/2009,20,92,30
1/27/2009,20.7,94,0
1/28/2009,20.4,94,2
1/29/2009,20.4,93,10
1/30/2009,19.5,97,57
1/31/2009,20.5,91,22
2/1/2009,19.8,93,8
2/2/2009,19,99,42
2/3/2009,19,96,59
2/4/2009,18.8,99,84
2/5/2009,19,98,23
2/6/2009,18.8,98,40
2/7/2009,19,97,26
2/8/2009,19.4,100,6
2/9/2009,20,98,77
2/10/2009,20.6,92,32
2/11/2009,20.7,89,0
2/12/2009,22.2,72,2
2/13/2009,20.2,92,1
2/14/2009,21.8,76,6
2/15/2009,21.7,84,1
2/16/2009,20.1,90,2
2/17/2009,21.1,82,6
2/18/2009,20.6,92,11
2/19/2009,20.8,92,9
2/20/2009,20.8,85,7
2/21/2009,19.8,91,29
2/22/2009,19.8,90,31
2/23/2009,20.4,90,21
2/24/2009,20.9,86,8
2/25/2009,20.7,91,0
2/26/2009,21.1,86,1
2/27/2009,20.9,90,1
2/28/2009,20,90,11
3/1/2009,21.3,85,14
3/2/2009,22,74,1
3/3/2009,21.1,86,0
3/4/2009,21.5,88,8
3/5/2009,20.2,92,10
3/6/2009,21.8,87,33
3/7/2009,22.5,84,0
3/8/2009,21.4,80,3
3/9/2009,21,82,0
3/10/2009,20.8,86,80
3/11/2009,20.2,86,42
3/12/2009,21,79,5
3/13/2009,20.5,85,23
3/14/2009,20,94,34
3/15/2009,20.6,87,25
3/16/2009,21.8,74,3
3/17/2009,21.4,71,0
3/18/2009,22.4,73,0
3/19/2009,21.4,81,0
3/20/2009,21.9,80,9
3/21/2009,21.3,82,0
3/22/2009,20.6,87,25
3/23/2009,20.5,88,12
3/24/2009,20.9,86,5
3/25/2009,20.7,87,2
3/26/2009,20.9,73,12
3/27/2009,21.2,84,13
3/28/2009,21,89,7
3/29/2009,20.4,91,0
3/30/2009,21.1,82,23
3/31/2009,21.1,84,3
4/1/2009,21.7,81,0
4/2/2009,22.1,84,1
4/3/2009,21.1,84,2
4/4/2009,21.4,86,21
4/5/2009,21.9,88,0
4/6/2009,20.7,87,14
4/7/2009,20.8,91,11
4/8/2009,21.8,72,49
4/9/2009,23.3,68,1
4/10/2009,22,78,0
4/11/2009,22.1,83,0
4/12/2009,21.5,88,0
4/13/2009,21.3,89,0
4/14/2009,22.9,79,7
4/15/2009,22.2,83,0
4/16/2009,21.1,92,18
4/17/2009,22,85,5
4/18/2009,23.3,78,2.5
4/19/2009,21.5,84,0
4/20/2009,22.5,76,33
4/21/2009,22,84,0
4/22/2009,22.6,80,4
4/23/2009,21.2,87,16
4/24/2009,21.4,83,28
4/25/2009,22.3,73,0
4/26/2009,21.6,80,0
4/27/2009,20.7,84,4
4/28/2009,21.7,86,24
4/29/2009,22,82,1
4/30/2009,21.7,82,0
5/1/2009,21.4,87,9
5/2/2009,21.7,88,39
5/3/2009,21.4,81,2
5/4/2009,21.5,85,4
5/5/2009,21.6,87,10
5/6/2009,21.7,90,51
5/7/2009,21.9,92,2
5/8/2009,21.4,94,10
5/9/2009,22.1,86,2
5/10/2009,21.3,84,0
5/11/2009,20,92,33
5/12/2009,21.9,76,58
5/13/2009,21.9,82,0
5/14/2009,21.7,84,7
5/15/2009,22.3,80,0
5/16/2009,21.7,78,4
5/17/2009,21.7,82,0
5/18/2009,20.9,86,1
5/19/2009,21.8,86,64
5/20/2009,22.1,90,0
5/21/2009,20.8,87,38
5/22/2009,21.9,87,11
5/23/2009,21.7,85,0
5/24/2009,21.7,84,22
5/25/2009,22.1,73,3
5/26/2009,22.6,65,0
5/27/2009,22.9,66,0
5/28/2009,22.3,77,0
5/29/2009,22,80,0
5/30/2009,21.4,84,2
5/31/2009,22.6,84,17
6/1/2009,22.3,83,13
6/2/2009,22,84,23
6/3/2009,23,76,34
6/4/2009,21.3,89,0
6/5/2009,21.1,88,5
6/6/2009,22.1,81,3
6/7/2009,22.5,78,0
6/8/2009,20.7,82,0
6/9/2009,22.5,75,47
6/10/2009,21.6,86,0
6/11/2009,21.4,84,1.5
6/12/2009,22.1,86,3
6/13/2009,22,84,0
6/14/2009,21.7,83,5
6/15/2009,20.8,88,7
6/16/2009,21,84,0
6/17/2009,21.7,89,5
6/18/2009,21.5,85,0
6/19/2009,22.8,75,0
6/20/2009,21.9,76,0
6/21/2009,22,81,0
6/22/2009,21.4,79,0
6/23/2009,20.9,85,0
6/24/2009,21.2,82,4
6/25/2009,21.9,77,2
6/26/2009,21.7,75,0
6/27/2009,21.6,79,0
6/28/2009,21.6,73,0
6/29/2009,21.7,81,0
6/30/2009,21.3,84,2
7/1/2009,20.9,83,0
7/2/2009,21.3,84,0
7/3/2009,20.7,87,0
7/4/2009,21.3,86,0
7/5/2009,21.7,86,2
7/6/2009,21.3,80,0
7/7/2009,21.1,67,0
7/8/2009,21,78,0
7/9/2009,22.1,76,0
7/10/2009,21.7,67,0
7/11/2009,21.1,66,0
7/12/2009,20.3,57,0
7/13/2009,19.9,66,0
7/14/2009,20.1,68,0
7/15/2009,20.9,69,0
7/16/2009,21.9,66,0
7/17/2009,21.1,75,0
7/18/2009,21.1,80,0
7/19/2009,21.3,76,0
7/20/2009,21.8,77,0
7/21/2009,22.1,76,0
7/22/2009,21.6,79,0
7/23/2009,20.5,83,0
7/24/2009,20.9,88,14
7/25/2009,20.5,90,67
7/26/2009,22,81,4
7/27/2009,22.6,62,0
7/28/2009,23.7,52,0
7/29/2009,21.2,65,0
7/30/2009,20.2,72,0
7/31/2009,20.2,70,0
8/1/2009,20.8,62,0
8/2/2009,20.7,64,0
8/3/2009,20.4,65,0
8/4/2009,20.3,75,0
8/5/2009,21,76,0
8/6/2009,21.3,62,0
8/7/2009,21.3,74,0
8/8/2009,21.7,78,0
8/9/2009,21.1,74,0
8/10/2009,21.5,71,0
8/11/2009,22.4,75,0
8/12/2009,21.5,86,0
8/13/2009,22.3,81,0
8/14/2009,21.9,80,0
8/15/2009,21.6,80,6
8/16/2009,21.2,81,3
8/17/2009,21.1,86,0
8/18/2009,22.2,84,2
8/19/2009,22.4,72,0
8/20/2009,21,80,0
8/21/2009,20.7,76,0
8/22/2009,20.8,74,0
8/23/2009,21.4,73,0
8/24/2009,21.2,76,0
8/25/2009,21.5,84,2
8/26/2009,21.5,74,0
8/27/2009,21.2,76,2
8/28/2009,21.3,69,0
8/29/2009,21.4,78,0
8/30/2009,21.8,76,0
8/31/2009,21.8,72,0
9/1/2009,22.4,76,0
9/2/2009,21.7,85,1
9/3/2009,21.7,80,0
9/4/2009,21.3,76,0
9/5/2009,21,82,0
9/6/2009,22.2,78,0
9/7/2009,21.7,69,0
9/8/2009,21.6,75,0
9/9/2009,22.1,72,0
9/10/2009,22.1,80,0
9/11/2009,21.6,87,1
9/12/2009,22.5,74,17
9/13/2009,22.6,72,0
9/14/2009,22.7,70,0
9/15/2009,21.9,76,0
9/16/2009,20.9,86,8
9/17/2009,21.2,90,16
9/18/2009,21.3,86,14
9/19/2009,21.1,85,12
9/20/2009,21.7,75,6
9/21/2009,23.7,71,0
9/22/2009,21.7,75,0
9/23/2009,21.7,76,0
9/24/2009,21.9,84,0
9/25/2009,21.8,75,2
9/26/2009,22.5,70,1
9/27/2009,22.4,69,0
9/28/2009,22.3,62,1
9/29/2009,22.9,64,0
9/30/2009,22.2,76,0
10/1/2009,22.3,76,0
10/2/2009,21.9,78,0
10/3/2009,21.5,89,0
10/4/2009,21.7,92,46
10/5/2009,20.9,94,20
